UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2011 transladado,SRAG2013 transladado,SRAG2014 transladado,n.seasons
22,1,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8467505969195854,1.189207115002721,1.670165415315793,-8.0,9.0,8.0,0.0,3.0000000000000004,3.0000000000000004,,0.0,3.0,3
22,2,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.5901880199032414,1.7320508075688774,5.083125883327548,-7.0,9.0,8.0,0.0,4.0,4.0,,0.0,4.0,3
22,3,0.0,0.0,1.0,3.0,0.0,2.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.9690903312758369,1.8171205928321397,3.4072440332239613,-6.0,9.0,8.0,2.613081233824818,3.464101615137755,4.592279736529799,,3.0,4.0,3
22,4,0.0,3.0,0.0,0.0,3.0,2.0,1.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.9690903312758369,1.8171205928321397,3.4072440332239613,-5.0,9.0,8.0,0.0,4.0,4.0,,0.0,4.0,3
22,5,0.0,1.0,2.0,0.0,0.0,4.0,0.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.4339731467673484,2.82842712474619,5.578905029033951,-4.0,9.0,8.0,1.0,1.0,1.0,1.0,0.0,1.0,3
22,6,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.6463014561568918,2.449489742783178,3.6445330091648795,-3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3
22,7,0.0,1.0,4.0,0.0,0.0,4.0,1.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.018672763257319,2.519842099789746,6.2332128990758875,-2.0,9.0,8.0,1.0092931998469616,1.5874010519681994,2.496640322328366,1.0,2.0,2.0,3
22,8,0.0,5.0,4.0,0.0,2.0,4.0,0.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,2.0185863996939233,3.1748021039363987,4.993280644656732,-1.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,3
22,9,0.0,2.0,2.0,0.0,0.0,4.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.4339731467673484,2.82842712474619,5.578905029033951,0.0,9.0,8.0,1.4072035500237638,2.8844991406148166,5.912673608638286,2.0,2.0,6.0,3
22,10,0.0,5.0,3.0,0.0,2.0,1.0,1.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.9191858986891183,1.5650845800732873,2.6648469545458404,1.0,9.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,3
22,11,0.0,16.0,5.0,1.0,2.0,0.0,1.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8421350347244184,1.7782794100389228,3.7550719656298446,2.0,9.0,8.0,2.588079724726555,4.578856970213327,8.100960319484107,4.0,8.0,3.0,3
22,12,0.0,45.0,4.0,1.0,8.0,2.0,2.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.3200664365984243,2.6390158215457884,5.275798485048238,3.0,9.0,8.0,4.0,4.0,4.0,4.0,4.0,4.0,3
22,13,0.0,22.0,1.0,0.0,4.0,1.0,3.0,9.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.9129225297295525,1.8612097182041991,3.794518704849986,4.0,9.0,8.0,1.6863059659847808,3.4760266448864496,7.165224745501255,2.0,7.0,3.0,3
22,14,0.0,19.0,0.0,0.0,7.0,6.0,1.0,18.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.022069050258811,3.4760266448864496,11.82186392680702,5.0,9.0,8.0,2.831266660179928,4.93242414866094,8.592905897725469,3.0,5.0,8.0,3
22,15,0.0,11.0,0.0,0.0,5.0,2.0,4.0,15.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.991602281989322,3.419951893353394,5.872694090894887,6.0,9.0,8.0,3.0205212913628547,4.217163326508746,5.887879874677521,5.0,5.0,3.0,3
22,16,0.0,8.0,2.0,1.0,5.0,3.0,2.0,12.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.3489270533368043,2.2679331552660544,3.8130459197416595,7.0,9.0,8.0,3.5132811247129503,4.578856970213327,5.967621266113218,4.0,4.0,6.0,3
22,17,0.0,6.0,0.0,0.0,4.0,4.0,0.0,20.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,4.0,4.0,4.0,8.0,9.0,8.0,0.5975001103860139,1.709975946676697,4.893752632654427,1.0,1.0,5.0,3
22,18,0.0,2.0,0.0,0.0,1.0,3.0,0.0,10.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.5901880199032414,1.7320508075688774,5.083125883327548,9.0,9.0,8.0,0.5901880199032414,1.7320508075688774,5.083125883327548,0.0,1.0,3.0,3
22,19,1.0,0.0,0.0,2.0,1.0,8.0,0.0,22.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7603879490056429,2.519842099789746,8.350479799392083,10.0,9.0,8.0,0.7169865733836742,1.414213562373095,2.789452514516975,0.0,2.0,1.0,3
22,20,0.0,1.0,0.0,0.0,2.0,3.0,0.0,7.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.6463014561568918,2.449489742783178,3.6445330091648795,11.0,9.0,8.0,1.7566405623564756,2.2894284851066637,2.9838106330566094,2.0,2.0,3.0,3
22,21,0.0,0.0,1.0,0.0,2.0,6.0,0.0,6.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8235934660505269,2.2894284851066637,6.364162665778401,12.0,9.0,8.0,0.0,6.999999999999999,6.999999999999999,0.0,7.0,0.0,3
22,22,0.0,2.0,0.0,0.0,7.0,5.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,4.254330043138094,5.916079783099615,8.226912262355453,13.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3
22,23,0.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,3.0000000000000004,3.0000000000000004,14.0,9.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,3
22,24,0.0,1.0,1.0,2.0,4.0,1.0,0.0,5.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8776628065740153,1.681792830507429,3.2226808559736573,15.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,25,1.0,2.0,0.0,1.0,1.0,3.0,1.0,5.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7682369555698564,1.3160740129524926,2.254578870504988,16.0,9.0,8.0,0.6417236286912363,1.5874010519681994,3.926678070010979,1.0,4.0,1.0,3
22,26,2.0,0.0,1.0,0.0,4.0,0.0,0.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.5140697464124628,2.0,7.7810453307450755,17.0,9.0,8.0,0.7169865733836742,1.414213562373095,2.789452514516975,0.0,2.0,1.0,3
22,27,2.0,1.0,0.0,2.0,2.0,0.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,2.0,2.0,2.0,18.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,28,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,19.0,9.0,8.0,1.0092931998469616,1.5874010519681994,2.496640322328366,1.0,2.0,2.0,3
22,29,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7169865733836742,1.414213562373095,2.789452514516975,20.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,30,3.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7036017750118819,1.4422495703074085,2.9563368043191436,21.0,9.0,8.0,0.7894890320953268,2.4101422641752297,7.3576522249422736,1.0,7.0,2.0,3
22,31,2.0,2.0,0.0,1.0,7.0,1.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.5365111754990366,1.9129311827723892,6.820558223450356,22.0,9.0,8.0,1.0,1.0,1.0,0.0,1.0,1.0,3
22,32,7.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7169865733836742,1.414213562373095,2.789452514516975,23.0,9.0,8.0,0.0,4.0,4.0,0.0,4.0,0.0,3
22,33,6.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.9128275668461469,2.0,4.381988609108453,24.0,9.0,8.0,0.0,3.0000000000000004,3.0000000000000004,0.0,3.0,0.0,3
22,34,4.0,1.0,0.0,2.0,3.0,0.0,0.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.6463014561568918,2.449489742783178,3.6445330091648795,25.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,35,6.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,26.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,36,19.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,27.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3
22,37,29.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,28.0,9.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,3
22,38,40.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,1.0,1.0,29.0,9.0,8.0,3.0000000000000004,3.0000000000000004,3.0000000000000004,0.0,3.0,3.0,3
22,39,30.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,3.0000000000000004,3.0000000000000004,30.0,9.0,8.0,0.0,2.0,2.0,0.0,2.0,0.0,3
22,40,26.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,31.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,1.0,3
22,41,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,1.0,1.0,32.0,9.0,8.0,0.5901880199032414,1.7320508075688774,5.083125883327548,1.0,3.0,0.0,3
22,42,6.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,3.0000000000000004,3.0000000000000004,3.0000000000000004,33.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3
22,43,3.0,0.0,2.0,0.0,0.0,3.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.6463014561568918,2.449489742783178,3.6445330091648795,34.0,9.0,8.0,0.0,2.0,2.0,0.0,2.0,0.0,3
22,44,17.0,0.0,1.0,0.0,2.0,0.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.7169865733836742,1.414213562373095,2.789452514516975,35.0,9.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0,3
22,45,5.0,0.0,1.0,0.0,0.0,1.0,1.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,36.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,0.0,3
22,46,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,37.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3
22,47,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,0.0,0.0,38.0,9.0,8.0,0.0,2.0,2.0,2.0,0.0,0.0,3
22,48,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,0.0,0.0,39.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,,3
22,49,1.0,0.0,0.0,1.0,1.0,0.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,40.0,9.0,8.0,1.0,1.0,1.0,1.0,1.0,,3
22,50,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,0.0,1.0,1.0,41.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,,3
22,51,0.0,0.0,0.0,1.0,0.0,0.0,1.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,42.0,9.0,8.0,0.0,1.0,1.0,0.0,1.0,,3
22,52,3.0,0.0,0.0,0.0,1.0,0.0,1.0,,5.210342169394703,7.68 vez(es) maior,8.64 vez(es) maior,1.04 vez(es) menor,1.74 vez(es) menor,1.54 vez(es) maior,1.54 vez(es) maior,1.30 vez(es) menor,5,5,2.3893212470687826,10,20,1.0,1.0,1.0,43.0,9.0,8.0,0.0,0.0,0.0,0.0,,,3
